Y1,Y2
村气,5
村俗,5
村学究语,5
存十一於千百,5
存亡绝续,7
存心,3
存心积虑,7
存疑,8
危险,5
存在危险,8
存在主义,5
寸步难移,5
寸草不留,7
寸量铢称,5
寸木岑楼,5
寸蹄尺缣,5
寸田尺宅,5
寸长尺短,5
寸长尺技,5
寸指测渊,3
搓手顿足,5
撮弄,5
撮盐入火,5
蹉跌,3
蹉跎,5
蹉跎日月,8
蹉跎自误,5
挫败,8
挫伤,8
挫折,8
措大,1
措心积虑,7
错别字,3
错处,3
错讹,3
错愕,7
错估,8
错过,8
错会,3
错漏,3
错乱,7
错认颜标,5
错失,8
错误百出,5
错误陈述,8
错杂,5
嗒丧,5
打草惊蛇,5
打岔,3
打错算盘,8
打掉牙往肚子里吞－有苦显不出来,7
打躬作揖,1
打官司,8
打谎,3
打击,5
打击报复,7
打鸡骂狗,5
打家劫舍,5
打家截道,5
打家截舍,5
打假,8
打落水狗,7
打马虎眼,3
打骂,5
打蔫儿,1
打破,5
打破醋坛子,5
打情骂俏,3
打群架,7
打扰,5
打手,3
打水漂,8
打死虎,7
打死老虎,7
打退堂鼓,3
打小算盘,3
打掩护,3
打肿脸充胖子,3
大材小用,5
大吹大擂,3
大吹法螺,3
大醇小疵,3
大错而特错,9
大错特错,9
大打出手,5
大大咧咧,5
大胆,3
大颠簸,8
大而笨拙,7
大而无当,7
大放厥词,5
大腹便便,1
大国主义,5
大旱云霓,7
大呼小喝,5
大呼小叫,3
大话,3
大惑不解,7
大开方便之门,3
大骂,5
大民族主义,5
大谬不然,9
大缪不然,5
大模大样,3
大难临头,5
大逆不道,9
大逆无道,7
大权独揽,5
大权旁落,7
大人先生,5
大杀风景,3
大厦将颠,7
大厦将倾,7
大厦将倾，一木难支,7
大煞风景,7
大煞风趣,7
大舌头,7
大声疾呼,3
大手大脚,5
大水冲了龙王庙　,5
大肆,3
大题小做,3
大相径庭,5
大兴土木,5
大言不惭,7
大眼看小眼,5
大吆小喝,5
大摇大摆,5
大爷,5
大意,5
大杂烩,1
大做文章,5
呆板,3
呆笨,7
呆钝,5
呆愣愣,3
呆气,5
呆如木鸡,5
呆若木鸡,5
呆傻,7
呆似木鸡,5
呆头呆脑,5
呆小症,7
呆怔,3
呆滞,8
呆住,3
呆子,3
歹毒,9
歹人,7
歹徒,7
歹心,5
逮捕,8
代越庖俎,5
带水拖泥,5
待定,8
待兔守株,5
怠惰,7
怠工,3
怠慢,5
戴高帽兒,5
戴高帽子,5
戴盆望天,3
担雪塞井,5
担雪填河,5
担雪填井,5
单鹄寡凫,3
单见浅闻,5
单弱,3
单调,3
单文孤证,5
耽搁,3
耽误,3
胆大包天,7
胆大妄为,9
胆大心粗,5
胆敢,3
胆寒发竖,9
胆裂魂飞,9
胆怯,1
胆丧魂惊,9
胆丧魂消,9
胆小,3
胆小鬼,5
胆小怕事,7
胆小如豆,5
胆小如鼠,3
胆小如鼷,5
胆战心寒,7
胆战心慌,7
胆战心摇,7
诞幻不经,5
诞谩不经,5
诞罔不经,5
诞妄不经,5
淡而不厌,5
淡而无味,3
淡饭黄齑,5
淡妆浓抹,3
弹冠相庆,7
弹尽粮绝,7
弹空说嘴,5
弹丸之地,3
蛋白质,5
当场出彩,7
当道,9
当断不断,5
当断不断，反受其乱,7
当面错过,5
当面鼓，对面锣,8
当头棒喝,7
党恶佑奸,5
党阀,7
党棍,7
党同妒异,5
党同伐异,5
党徒,3
党邪丑1,5
党邪丑正,5
党邪陷正,5
党羽,3
荡检逾闲,7
荡析离居,5
刀光血影,5
刀头舔蜜,5
刀俎,5
叨叨,3
叨教,5
叨在知己,7
捣蛋,5
捣鬼,3
捣毁,5
捣乱,5
倒闭,8
倒彩,5
倒持干戈,5
倒持戈矛,5
倒持太阿,5
倒持泰阿,9
倒打一耙,5
倒打一瓦,5
